time,short distance,hyper volume


cycle : 25, pop_size : 128
0.134999,0.553907,0.532860
0.135046,0.555423,0.528736
0.135035,0.550628,0.525351
0.135068,0.554478,0.527364
0.135016,0.553300,0.530120
0.134941,0.560120,0.524299
0.135009,0.555739,0.521375
0.135019,0.557559,0.522466
0.134919,0.552914,0.528312
0.134983,0.558142,0.527194

cycle : 25, pop_size : 256
0.262945,0.542677,0.528196
0.262877,0.554628,0.530443
0.262774,0.554785,0.536529
0.262732,0.556615,0.530101
0.262498,0.551340,0.530816
0.262782,0.557350,0.530557
0.263010,0.553290,0.524630
0.262419,0.552225,0.535347
0.262831,0.548503,0.527693
0.262731,0.552611,0.531882

cycle : 25, pop_size : 512
0.523600,0.549063,0.534848
0.523367,0.549343,0.530070
0.523415,0.554538,0.531827
0.523250,0.550773,0.529635
0.523960,0.552997,0.528895
0.523750,0.546996,0.533301
0.523282,0.549336,0.536004
0.523322,0.554897,0.528823
0.523411,0.543579,0.530360
0.523786,0.541043,0.536839

cycle : 25, pop_size : 1024
1.040843,0.548362,0.528268
1.042030,0.546767,0.531784
1.041885,0.553055,0.535051
1.042078,0.547568,0.539069
1.041845,0.553777,0.528044
1.042023,0.545632,0.532756
1.041568,0.554616,0.533322
1.042036,0.555235,0.526438
1.042135,0.547060,0.531911
1.040828,0.550780,0.536921

cycle : 25, pop_size : 2048
2.081893,0.551797,0.531098
2.080797,0.544540,0.542623
2.079789,0.546703,0.539012
2.079862,0.549388,0.536876
2.081372,0.546566,0.530381
2.080245,0.553457,0.534205
2.080649,0.552008,0.531539
2.080999,0.551395,0.534159
2.081275,0.548909,0.530260
2.080627,0.548422,0.537291

cycle : 50, pop_size : 128
0.263861,0.538342,0.539153
0.263942,0.539875,0.535169
0.263918,0.536573,0.538894
0.263916,0.535070,0.540374
0.263821,0.535930,0.539357
0.263928,0.534341,0.539142
0.263983,0.524376,0.543104
0.263872,0.525864,0.542110
0.263737,0.535483,0.540164
0.263959,0.541637,0.535017

cycle : 50, pop_size : 256
0.515629,0.535175,0.543966
0.515793,0.532446,0.548657
0.516069,0.531455,0.540890
0.516007,0.525978,0.542976
0.516018,0.535785,0.544930
0.515788,0.530826,0.545328
0.515821,0.530250,0.540403
0.515924,0.533829,0.543792
0.515365,0.527213,0.542256
0.515437,0.529559,0.542833

cycle : 50, pop_size : 512
1.025994,0.530919,0.550043
1.026182,0.529211,0.550813
1.026678,0.533072,0.546683
1.026936,0.530748,0.548593
1.026745,0.528396,0.546679
1.026588,0.530409,0.546398
1.025422,0.525223,0.543676
1.025953,0.533373,0.551187
1.026106,0.528045,0.546983
1.025826,0.529064,0.550227

cycle : 50, pop_size : 1024
2.047709,0.530124,0.546649
2.047075,0.525070,0.555238
2.045667,0.528139,0.556690
2.048175,0.526818,0.544186
2.045290,0.523136,0.555279
2.047510,0.535782,0.551743
2.047824,0.522957,0.547639
2.047795,0.531750,0.546863
2.047197,0.520474,0.551268
2.045492,0.529331,0.547288

cycle : 50, pop_size : 2048
4.095731,0.530486,0.545240
4.097635,0.532587,0.551760
4.098458,0.531649,0.545233
4.097524,0.533795,0.549184
4.098018,0.522725,0.546992
